Exam Name,# of Exam Takers,Cronbach's Alpha,Stdev,Mean,% Mean,Median Pts,Min Pts,Max Pts,Total Pts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 PHAR XXX Midterm II,196,0.876421,0.172377,121.428552,72.2789,123.99996,31.999968,172.00008,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item #,Question Type #,Diff(p),Upper,Lower,Disc. Index,Point Biserial,Correct Answer,# Unanswered,% Unanswered,Item Text,PerfHist - # Correct,PerfHist - # Incorrect,PerfHist - # Not Attempted,PerfHist - Difficulty,Item Description,Item ID,Item Rev,GiveFullCreditToAllETs,BonusItem,AvgAnswerTime,Rationale,A - Text,A - Correct,A - # Selected,A - % Selected,A - Point Biserial,A - Disc. Index,A - Upper,A - Lower,B - Text,B - Correct,B - # Selected,B - % Selected,B - Point Biserial,B - Disc. Index,B - Upper,B - Lower,C - Text,C - Correct,C - # Selected,C - % Selected,C - Point Biserial,C - Disc. Index,C - Upper,C - Lower,D - Text,D - Correct,D - # Selected,D - % Selected,D - Point Biserial,D - Disc. Index,D - Upper,D - Lower,E - Text,E - Correct,E - # Selected,E - % Selected,E - Point Biserial,E - Disc. Index,E - Upper,E - Lower
11,MC,0.831633,0.963636,0.631579,0.332057,0.413923,B,0,0,Item Text Example Placeholder,174,37,0,0.824645,Desciptor Placeholder,132729,2,FALSE,FALSE,1:54,,A Text Placeholder,FALSE,2,1.020408163,0.21537519,-0.035087719,0,0.035087719,B Text Placeholder,TRUE,163,83.16326531,0.41392268,0.332057416,0.963636364,0.631578947,C Text Placeholder,FALSE,22,11.2244898,0.27873906,-0.191706539,0.036363636,0.228070175,D Text Placeholder,FALSE,5,2.551020408,0.26721848,-0.070175439,0,0.070175439,E Text Placeholder,FALSE,4,2.040816327,0.02207244,-0.035087719,0,0.035087719
12,MC,0.739796,0.963636,0.508772,0.454864,0.445264,E,0,0,Item Text Example Placeholder,157,54,0,0.744076,Desciptor Placeholder,132730,3,FALSE,FALSE,6:15,,A Text Placeholder,FALSE,10,5.102040816,0.13954555,-0.08708134,0.018181818,0.105263158,B Text Placeholder,FALSE,13,6.632653061,0.29633505,-0.157894737,0,0.157894737,C Text Placeholder,FALSE,18,9.183673469,0.20114171,-0.122169059,0.018181818,0.140350877,D Text Placeholder,FALSE,10,5.102040816,0.14915353,-0.087719298,0,0.087719298,E Text Placeholder,TRUE,145,73.97959184,0.44526353,0.454864434,0.963636364,0.50877193
13,MC,0.94898,1,0.859649,0.140351,0.312491,A,0,0,Item Text Example Placeholder,193,10,0,0.950739,Desciptor Placeholder,132731,3,FALSE,FALSE,1:01,,A Text Placeholder,TRUE,186,94.89795918,0.31249066,0.140350877,1,0.859649123,B Text Placeholder,FALSE,4,2.040816327,0.12673956,-0.052631579,0,0.052631579,C Text Placeholder,FALSE,3,1.530612245,0.12669572,-0.035087719,0,0.035087719,D Text Placeholder,FALSE,2,1.020408163,0.243424,-0.035087719,0,0.035087719,E Text Placeholder,FALSE,1,0.510204082,0.15190206,-0.01754386,0,0.01754386
14,MC,0.683673,0.909091,0.438596,0.470494,0.432101,C,0,0,Item Text Example Placeholder,138,65,0,0.679803,Desciptor Placeholder,132732,2,FALSE,FALSE,1:48,,A Text Placeholder,FALSE,5,2.551020408,0.13759999,-0.035087719,0,0.035087719,B Text Placeholder,FALSE,3,1.530612245,0.16113724,-0.035087719,0,0.035087719,C Text Placeholder,TRUE,134,68.36734694,0.43210081,0.470494418,0.909090909,0.438596491,D Text Placeholder,FALSE,22,11.2244898,0.27873925,-0.209888357,0.018181818,0.228070175,E Text Placeholder,FALSE,32,16.32653061,0.19339019,-0.190430622,0.072727273,0.263157895
15,MC,0.831633,0.981818,0.631579,0.350239,0.351774,D,0,0,Item Text Example Placeholder,178,33,0,0.843602,Desciptor Placeholder,132733,3,FALSE,FALSE,1:47,,A Text Placeholder,FALSE,0,0,0,0,0,0,B Text Placeholder,FALSE,29,14.79591837,0.28850254,-0.297607656,0.018181818,0.315789474,C Text Placeholder,FALSE,1,0.510204082,0.06288022,-0.01754386,0,0.01754386,D Text Placeholder,TRUE,163,83.16326531,0.35177373,0.350239234,0.981818182,0.631578947,E Text Placeholder,FALSE,3,1.530612245,0.20131913,-0.035087719,0,0.035087719
16,MC,0.581633,0.890909,0.385965,0.504944,0.403274,C,0,0,Item Text Example Placeholder,120,83,0,0.591133,Desciptor Placeholder,132734,2,FALSE,FALSE,2:12,,A Text Placeholder,FALSE,9,4.591836735,0.28354003,-0.140350877,0,0.140350877,B Text Placeholder,FALSE,18,9.183673469,0.15965839,-0.103987241,0.036363636,0.140350877,C Text Placeholder,TRUE,114,58.16326531,0.4032739,0.504944179,0.890909091,0.385964912,D Text Placeholder,FALSE,44,22.44897959,0.18023738,-0.243700159,0.054545455,0.298245614,E Text Placeholder,FALSE,11,5.612244898,0.07939024,-0.016905901,0.018181818,0.035087719
17,MC,0.688776,0.945455,0.333333,0.612121,0.520227,D,0,0,Item Text Example Placeholder,145,66,0,0.687204,Desciptor Placeholder,132735,2,FALSE,FALSE,3:01,,A Text Placeholder,FALSE,12,6.12244898,0.14193501,-0.104625199,0.018181818,0.122807018,B Text Placeholder,FALSE,7,3.571428571,0.168986,-0.087719298,0,0.087719298,C Text Placeholder,FALSE,9,4.591836735,0.25323828,-0.105263158,0,0.105263158,D Text Placeholder,TRUE,135,68.87755102,0.52022681,0.612121212,0.945454545,0.333333333,E Text Placeholder,FALSE,33,16.83673469,0.32729079,-0.314513557,0.036363636,0.350877193
18,MC,0.877551,0.981818,0.684211,0.297608,0.424742,A,0,0,Item Text Example Placeholder,184,27,0,0.872038,Desciptor Placeholder,132736,2,FALSE,FALSE,2:09,,A Text Placeholder,TRUE,172,87.75510204,0.4247415,0.297607656,0.981818182,0.684210526,B Text Placeholder,FALSE,3,1.530612245,0.10373447,-0.01754386,0,0.01754386,C Text Placeholder,FALSE,14,7.142857143,0.32288876,-0.174800638,0.018181818,0.192982456,D Text Placeholder,FALSE,6,3.06122449,0.18876524,-0.087719298,0,0.087719298,E Text Placeholder,FALSE,1,0.510204082,0.15190206,-0.01754386,0,0.01754386
19,MC,0.530612,0.836364,0.333333,0.50303,0.352819,E,0,0,Item Text Example Placeholder,108,95,0,0.53202,Desciptor Placeholder,132737,2,FALSE,FALSE,2:44,,A Text Placeholder,FALSE,4,2.040816327,0.10680282,-0.052631579,0,0.052631579,B Text Placeholder,FALSE,56,28.57142857,0.09203746,-0.206060606,0.127272727,0.333333333,C Text Placeholder,FALSE,12,6.12244898,0.15957178,-0.08708134,0.018181818,0.105263158,D Text Placeholder,FALSE,20,10.20408163,0.26806282,-0.157256778,0.018181818,0.175438596,E Text Placeholder,TRUE,104,53.06122449,0.35281885,0.503030303,0.836363636,0.333333333
20,MC,0.959184,0.981818,0.912281,0.069537,0.248804,B,0,0,Item Text Example Placeholder,203,8,0,0.962085,Desciptor Placeholder,132738,2,FALSE,FALSE,33,,A Text Placeholder,FALSE,2,1.020408163,0.2153749,-0.035087719,0,0.035087719,B Text Placeholder,TRUE,188,95.91836735,0.24880421,0.06953748,0.981818182,0.912280702,C Text Placeholder,FALSE,0,0,0,0,0,0,D Text Placeholder,FALSE,5,2.551020408,0.1197216,-0.016905901,0.018181818,0.035087719,E Text Placeholder,FALSE,1,0.510204082,0.12222839,-0.01754386,0,0.01754386
